date,season,venue,team1,team2,toss_winner,toss_decision,bat_first_team,winner,team1_last5_win_pct,team2_last5_win_pct,team1_h2h_win_pct,team2_h2h_win_pct,team1_home_away,team2_home_away,team1_won
2016-02-04,2015/16,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,Quetta Gladiators,0.5,0.5,0.5,0.5,away,away,0
2016-02-05,2015/16,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,Karachi Kings,field,Lahore Qalandars,Karachi Kings,0.5,0.5,0.5,0.5,away,away,0
2016-02-05,2015/16,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United,Peshawar Zalmi,bat,Peshawar Zalmi,Peshawar Zalmi,0.5,0.0,0.5,0.5,away,away,1
2016-02-06,2015/16,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Karachi Kings,Quetta Gladiators,1.0,1.0,0.5,0.5,away,away,0
2016-02-06,2015/16,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,Peshawar Zalmi,0.0,1.0,0.5,0.5,away,away,0
2016-02-07,2015/16,Dubai International Cricket Stadium,Islamabad United,Karachi Kings,Karachi Kings,field,Islamabad United,Islamabad United,0.0,0.5,0.5,0.5,away,away,1
2016-02-07,2015/16,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,Quetta Gladiators,1.0,1.0,0.5,0.5,away,away,0
2016-02-08,2015/16,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,Lahore Qalandars,0.0,1.0,0.5,0.5,away,away,1
2016-02-10,2015/16,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United,Islamabad United,field,Lahore Qalandars,Islamabad United,0.3333333333333333,0.3333333333333333,0.5,0.5,away,away,0
2016-02-11,2015/16,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,Quetta Gladiators,0.5,0.75,0.0,1.0,away,away,0
2016-02-12,2015/16,Sharjah Cricket Stadium,Karachi Kings,Lahore Qalandars,Lahore Qalandars,field,Karachi Kings,Karachi Kings,0.3333333333333333,0.25,1.0,0.0,away,away,1
2016-02-12,2015/16,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Islamabad United,Peshawar Zalmi,0.4,0.6666666666666666,0.0,1.0,away,away,0
2016-02-13,2015/16,Sharjah Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,Lahore Qalandars,0.2,0.75,0.0,1.0,away,away,1
2016-02-13,2015/16,Sharjah Cricket Stadium,Karachi Kings,Quetta Gladiators,Karachi Kings,bat,Karachi Kings,Quetta Gladiators,0.5,0.8,0.0,1.0,away,away,0
2016-02-14,2015/16,Sharjah Cricket Stadium,Karachi Kings,Islamabad United,Islamabad United,field,Karachi Kings,Islamabad United,0.4,0.4,0.0,1.0,away,away,0
2016-02-14,2015/16,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,bat,Quetta Gladiators,Peshawar Zalmi,0.8,0.6,1.0,0.0,away,away,0
2016-02-16,2015/16,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,Quetta Gladiators,0.4,0.6,1.0,0.0,away,away,0
2016-02-17,2015/16,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi,Karachi Kings,bat,Karachi Kings,Peshawar Zalmi,0.2,0.6,0.5,0.5,away,away,0
2016-02-17,2015/16,Dubai International Cricket Stadium,Lahore Qalandars,Islamabad United,Islamabad United,field,Lahore Qalandars,Islamabad United,0.4,0.6,0.0,1.0,away,away,0
2016-02-19,2015/16,Dubai International Cricket Stadium,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Quetta Gladiators,Quetta Gladiators,0.6,0.6,0.5,0.5,away,away,1
2016-02-20,2015/16,Dubai International Cricket Stadium,Karachi Kings,Islamabad United,Islamabad United,field,Karachi Kings,Islamabad United,0.2,0.6,0.0,1.0,away,away,0
2016-02-21,2015/16,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Islamabad United,Islamabad United,0.6,0.6,0.0,1.0,away,away,1
2016-02-23,2015/16,Dubai International Cricket Stadium,Quetta Gladiators,Islamabad United,Islamabad United,field,Quetta Gladiators,Islamabad United,0.8,0.8,1.0,0.0,away,away,0
2017-02-09,2016/17,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi,Islamabad United,field,Peshawar Zalmi,Islamabad United,1.0,0.4,0.3333333333333333,0.6666666666666667,away,away,1
2017-02-10,2016/17,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,field,Quetta Gladiators,Quetta Gladiators,0.2,0.6,0.5,0.5,away,away,0
2017-02-10,2016/17,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,field,Karachi Kings,Peshawar Zalmi,0.2,0.4,0.0,1.0,away,away,0
2017-02-11,2016/17,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Karachi Kings,Quetta Gladiators,0.0,0.6,0.0,1.0,away,away,0
2017-02-11,2016/17,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars,Lahore Qalandars,field,Islamabad United,Lahore Qalandars,1.0,0.2,1.0,0.0,away,away,0
2017-02-12,2016/17,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,Peshawar Zalmi,0.4,0.4,0.5,0.5,away,away,0
2017-02-15,2016/17,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators,Islamabad United,field,Quetta Gladiators,Islamabad United,0.8,0.8,0.3333333333333333,0.6666666666666667,away,away,1
2017-02-16,2016/17,Sharjah Cricket Stadium,Karachi Kings,Lahore Qalandars,Karachi Kings,field,Lahore Qalandars,Lahore Qalandars,0.0,0.2,1.0,0.0,away,away,0
2017-02-17,2016/17,Sharjah Cricket Stadium,Islamabad United,Karachi Kings,Karachi Kings,field,Islamabad United,Karachi Kings,0.8,0.0,1.0,0.0,away,away,0
2017-02-18,2016/17,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,Quetta Gladiators,0.4,0.6,0.3333333333333333,0.6666666666666667,away,away,0
2017-02-18,2016/17,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi,Islamabad United,field,Peshawar Zalmi,Islamabad United,0.6,0.4,0.5,0.5,away,away,1
2017-02-19,2016/17,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,field,Karachi Kings,Karachi Kings,0.2,0.4,0.0,1.0,away,away,1
2017-02-20,2016/17,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars,Lahore Qalandars,field,Islamabad United,Lahore Qalandars,0.6,0.4,0.6666666666666666,0.33333333333333337,away,away,0
2017-02-23,2016/17,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Karachi Kings,Quetta Gladiators,0.4,0.6,0.0,1.0,away,away,0
2017-02-24,2016/17,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,Islamabad United,0.4,0.8,0.5,0.5,away,away,1
2017-02-24,2016/17,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,bat,Peshawar Zalmi,Peshawar Zalmi,0.6,0.4,0.3333333333333333,0.6666666666666667,away,away,0
2017-02-25,2016/17,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars,Karachi Kings,field,Lahore Qalandars,Karachi Kings,0.4,0.4,0.6666666666666666,0.33333333333333337,away,away,1
2017-02-25,2016/17,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,field,Quetta Gladiators,Peshawar Zalmi,0.6,0.6,0.3333333333333333,0.6666666666666667,away,away,1
2017-02-26,2016/17,Dubai International Cricket Stadium,Islamabad United,Karachi Kings,Karachi Kings,field,Islamabad United,Karachi Kings,0.6,0.6,0.75,0.25,away,away,0
2017-02-28,2016/17,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Quetta Gladiators,Quetta Gladiators,0.4,0.6,0.5,0.5,away,away,1
2017-03-01,2016/17,Sharjah Cricket Stadium,Karachi Kings,Islamabad United,Islamabad United,field,Karachi Kings,Karachi Kings,0.8,0.4,0.4,0.6,away,away,1
2017-03-03,2016/17,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings,Karachi Kings,field,Peshawar Zalmi,Peshawar Zalmi,0.4,0.8,0.6666666666666666,0.33333333333333337,away,away,1
2017-03-05,2016/17,Gaddafi Stadium,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,Peshawar Zalmi,0.6,0.6,0.4,0.6,away,away,1
2018-02-22,2017/18,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans,Multan Sultans,field,Peshawar Zalmi,Multan Sultans,0.8,0.5,0.5,0.5,away,away,0
2018-02-23,2017/18,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators,Karachi Kings,bat,Karachi Kings,Karachi Kings,0.6,0.4,0.0,1.0,away,away,1
2018-02-23,2017/18,Dubai International Cricket Stadium,Multan Sultans,Lahore Qalandars,Lahore Qalandars,field,Multan Sultans,Multan Sultans,1.0,0.4,0.5,0.5,away,away,1
2018-02-24,2017/18,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi,Islamabad United,field,Peshawar Zalmi,Peshawar Zalmi,0.4,0.6,0.6,0.4,away,away,0
2018-02-24,2017/18,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Quetta Gladiators,field,Lahore Qalandars,Quetta Gladiators,0.2,0.2,0.75,0.25,away,away,1
2018-02-25,2017/18,Dubai International Cricket Stadium,Multan Sultans,Islamabad United,Islamabad United,field,Multan Sultans,Islamabad United,1.0,0.2,0.5,0.5,away,away,0
2018-02-25,2017/18,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,bat,Peshawar Zalmi,Karachi Kings,0.8,0.6,0.25,0.75,away,away,1
2018-02-26,2017/18,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars,Karachi Kings,bat,Karachi Kings,Karachi Kings,0.8,0.2,0.75,0.25,away,away,1
2018-02-28,2017/18,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,Quetta Gladiators,0.4,0.4,0.6,0.4,away,away,0
2018-03-01,2017/18,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Quetta Gladiators,Peshawar Zalmi,0.6,0.6,0.5,0.5,away,away,0
2018-03-03,2017/18,Sharjah Cricket Stadium,Multan Sultans,Quetta Gladiators,Multan Sultans,field,Quetta Gladiators,Multan Sultans,0.6666666666666666,0.4,0.5,0.5,away,away,1
2018-03-03,2017/18,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars,Lahore Qalandars,bat,Lahore Qalandars,Peshawar Zalmi,0.6,0.0,0.75,0.25,away,away,1
2018-03-04,2017/18,Sharjah Cricket Stadium,Islamabad United,Karachi Kings,Islamabad United,field,Karachi Kings,Islamabad United,0.2,0.8,0.5,0.5,away,away,1
2018-03-06,2017/18,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans,Peshawar Zalmi,field,Multan Sultans,Multan Sultans,0.6,0.75,0.0,1.0,away,away,0
2018-03-07,2017/18,Dubai International Cricket Stadium,Multan Sultans,Quetta Gladiators,Quetta Gladiators,field,Multan Sultans,Quetta Gladiators,0.8,0.4,1.0,0.0,away,away,0
2018-03-08,2017/18,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators,Karachi Kings,field,Quetta Gladiators,Quetta Gladiators,0.6,0.6,0.2,0.8,away,away,0
2018-03-08,2017/18,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars,Islamabad United,field,Lahore Qalandars,Islamabad United,0.4,0.0,0.5,0.5,away,away,1
2018-03-09,2017/18,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United,Peshawar Zalmi,field,Islamabad United,Islamabad United,0.6,0.6,0.5,0.5,away,away,0
2018-03-09,2017/18,Dubai International Cricket Stadium,Multan Sultans,Lahore Qalandars,Multan Sultans,bat,Multan Sultans,Lahore Qalandars,0.6,0.0,1.0,0.0,away,away,0
2018-03-10,2017/18,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,Quetta Gladiators,0.4,0.6,0.5714285714285714,0.4285714285714286,away,away,0
2018-03-10,2017/18,Dubai International Cricket Stadium,Multan Sultans,Karachi Kings,Multan Sultans,field,Karachi Kings,Karachi Kings,0.4,0.6,0.5,0.5,away,away,0
2018-03-13,2017/18,Sharjah Cricket Stadium,Multan Sultans,Islamabad United,Multan Sultans,field,Islamabad United,Islamabad United,0.4,0.8,0.0,1.0,away,away,0
2018-03-14,2017/18,Sharjah Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Quetta Gladiators,field,Lahore Qalandars,Lahore Qalandars,0.6,0.2,0.8,0.19999999999999996,away,away,0
2018-03-15,2017/18,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United,Quetta Gladiators,bat,Quetta Gladiators,Islamabad United,0.6,0.8,0.5,0.5,away,away,0
2018-03-15,2017/18,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings,Peshawar Zalmi,bat,Peshawar Zalmi,Peshawar Zalmi,0.4,0.6,0.6,0.4,away,away,1
2018-03-16,2017/18,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars,Lahore Qalandars,bat,Lahore Qalandars,Peshawar Zalmi,0.4,0.4,0.8,0.19999999999999996,away,away,1
2018-03-16,2017/18,Sharjah Cricket Stadium,Islamabad United,Karachi Kings,Karachi Kings,field,Islamabad United,Karachi Kings,1.0,0.4,0.5714285714285714,0.4285714285714286,away,away,0
2018-03-18,2017/18,Dubai International Cricket Stadium,Islamabad United,Karachi Kings,Karachi Kings,bat,Karachi Kings,Islamabad United,0.8,0.4,0.5,0.5,away,away,1
2018-03-20,2017/18,Gaddafi Stadium,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,Peshawar Zalmi,0.4,0.6,0.5,0.5,away,away,1
2018-03-21,2017/18,Gaddafi Stadium,Karachi Kings,Peshawar Zalmi,Karachi Kings,field,Peshawar Zalmi,Peshawar Zalmi,0.4,0.6,0.3333333333333333,0.6666666666666667,away,away,0
2018-03-25,2017/18,National Stadium,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,bat,Peshawar Zalmi,Islamabad United,0.8,0.8,0.5714285714285714,0.4285714285714286,away,away,1
2019-02-14,2018/19,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars,Islamabad United,field,Lahore Qalandars,Islamabad United,0.8,0.4,0.6,0.4,away,away,1
2019-02-15,2018/19,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,Quetta Gladiators,0.8,0.4,0.5555555555555556,0.4444444444444444,away,away,0
2019-02-15,2018/19,Dubai International Cricket Stadium,Karachi Kings,Multan Sultans,Karachi Kings,bat,Karachi Kings,Karachi Kings,0.4,0.2,1.0,0.0,away,away,1
2019-02-16,2018/19,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars,Karachi Kings,field,Lahore Qalandars,Lahore Qalandars,0.4,0.4,0.8,0.19999999999999996,away,away,0
2019-02-16,2018/19,Dubai International Cricket Stadium,Islamabad United,Multan Sultans,Multan Sultans,field,Islamabad United,Multan Sultans,0.8,0.0,1.0,0.0,away,away,0
2019-02-17,2018/19,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,Peshawar Zalmi,0.6,0.6,0.16666666666666666,0.8333333333333334,away,away,0
2019-02-17,2018/19,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,Quetta Gladiators,0.6,0.4,0.5714285714285714,0.4285714285714286,away,away,0
2019-02-20,2018/19,Sharjah Cricket Stadium,Multan Sultans,Quetta Gladiators,Quetta Gladiators,field,Multan Sultans,Quetta Gladiators,0.2,0.4,0.5,0.5,away,away,0
2019-02-21,2018/19,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi,Karachi Kings,field,Peshawar Zalmi,Peshawar Zalmi,0.4,0.6,0.2857142857142857,0.7142857142857143,away,away,0
2019-02-22,2018/19,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Islamabad United,Islamabad United,0.6,0.6,0.625,0.375,away,away,1
2019-02-22,2018/19,Sharjah Cricket Stadium,Lahore Qalandars,Multan Sultans,Lahore Qalandars,field,Multan Sultans,Lahore Qalandars,0.4,0.2,0.5,0.5,away,away,1
2019-02-23,2018/19,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,Quetta Gladiators,0.4,0.6,0.3333333333333333,0.6666666666666667,away,away,0
2019-02-23,2018/19,Sharjah Cricket Stadium,Islamabad United,Karachi Kings,Islamabad United,field,Karachi Kings,Islamabad United,0.6,0.2,0.5555555555555556,0.4444444444444444,away,away,1
2019-02-24,2018/19,Sharjah Cricket Stadium,Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,field,Multan Sultans,Peshawar Zalmi,0.2,0.4,1.0,0.0,away,away,0
2019-02-24,2018/19,Sharjah Cricket Stadium,Karachi Kings,Quetta Gladiators,Karachi Kings,field,Quetta Gladiators,Karachi Kings,0.2,0.8,0.16666666666666666,0.8333333333333334,away,away,1
2019-02-26,2018/19,Dubai International Cricket Stadium,Islamabad United,Multan Sultans,Multan Sultans,field,Islamabad United,Multan Sultans,0.6,0.2,0.6666666666666666,0.33333333333333337,away,away,0
2019-02-27,2018/19,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,field,Quetta Gladiators,Lahore Qalandars,0.4,0.8,0.2857142857142857,0.7142857142857143,away,away,1
2019-02-27,2018/19,Dubai International Cricket Stadium,Islamabad United,Karachi Kings,Islamabad United,field,Karachi Kings,Islamabad United,0.4,0.4,0.6,0.4,away,away,1
2019-02-28,2018/19,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars,Karachi Kings,field,Lahore Qalandars,Karachi Kings,0.2,0.6,0.6666666666666666,0.33333333333333337,away,away,1
2019-02-28,2018/19,Dubai International Cricket Stadium,Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,field,Multan Sultans,Peshawar Zalmi,0.4,0.6,0.6666666666666666,0.33333333333333337,away,away,0
2019-03-01,2018/19,Dubai International Cricket Stadium,Multan Sultans,Quetta Gladiators,Quetta Gladiators,field,Multan Sultans,Quetta Gladiators,0.2,0.6,0.3333333333333333,0.6666666666666667,away,away,0
2019-03-01,2018/19,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Islamabad United,Peshawar Zalmi,0.6,0.8,0.6666666666666666,0.33333333333333337,away,away,0
2019-03-04,2018/19,Sheikh Zayed Stadium,Karachi Kings,Multan Sultans,Karachi Kings,field,Multan Sultans,Karachi Kings,0.4,0.2,1.0,0.0,away,away,1
2019-03-04,2018/19,Sheikh Zayed Stadium,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,Quetta Gladiators,0.8,0.6,0.5,0.5,away,away,0
2019-03-05,2018/19,Sheikh Zayed Stadium,Islamabad United,Quetta Gladiators,Islamabad United,field,Quetta Gladiators,Quetta Gladiators,0.6,0.6,0.5,0.5,away,away,0
2019-03-05,2018/19,Sheikh Zayed Stadium,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,Peshawar Zalmi,0.4,0.6,0.14285714285714285,0.8571428571428572,away,away,0
2019-03-09,2018/19,National Stadium,Lahore Qalandars,Islamabad United,Lahore Qalandars,field,Islamabad United,Islamabad United,0.4,0.4,0.3333333333333333,0.6666666666666667,away,away,0
2019-03-10,2018/19,National Stadium,Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Karachi Kings,Karachi Kings,0.6,0.6,0.2857142857142857,0.7142857142857143,away,away,1
2019-03-11,2018/19,National Stadium,Lahore Qalandars,Multan Sultans,Multan Sultans,field,Lahore Qalandars,Multan Sultans,0.2,0.2,0.6666666666666666,0.33333333333333337,away,away,0
2019-03-11,2018/19,National Stadium,Karachi Kings,Peshawar Zalmi,Karachi Kings,field,Peshawar Zalmi,Peshawar Zalmi,0.8,0.8,0.25,0.75,away,away,0
2019-03-13,2018/19,National Stadium,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,field,Quetta Gladiators,Quetta Gladiators,0.8,0.6,0.45454545454545453,0.5454545454545454,away,away,0
2019-03-14,2018/19,National Stadium,Islamabad United,Karachi Kings,Karachi Kings,bat,Karachi Kings,Islamabad United,0.4,0.6,0.6363636363636364,0.36363636363636365,away,away,1
2019-03-15,2018/19,National Stadium,Islamabad United,Peshawar Zalmi,Islamabad United,field,Peshawar Zalmi,Peshawar Zalmi,0.6,0.6,0.6,0.4,away,away,0
2019-03-17,2018/19,National Stadium,Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,field,Peshawar Zalmi,Quetta Gladiators,0.8,0.6,0.5833333333333334,0.41666666666666663,away,away,1
2020-02-20,2019/20,National Stadium,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,Quetta Gladiators,0.4,0.8,0.4444444444444444,0.5555555555555556,away,away,0
2020-02-21,2019/20,Gaddafi Stadium,Lahore Qalandars,Multan Sultans,Multan Sultans,field,Lahore Qalandars,Multan Sultans,0.2,0.4,0.5,0.5,away,away,0
2020-02-21,2019/20,National Stadium,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,field,Karachi Kings,Karachi Kings,0.6,0.6,0.2222222222222222,0.7777777777777778,away,away,1
2020-02-22,2019/20,National Stadium,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,field,Quetta Gladiators,Peshawar Zalmi,0.4,0.8,0.38461538461538464,0.6153846153846154,away,away,1
2020-02-22,2019/20,Gaddafi Stadium,Islamabad United,Multan Sultans,Islamabad United,field,Multan Sultans,Islamabad United,0.4,0.4,0.5,0.5,away,away,1
2020-02-23,2019/20,National Stadium,Karachi Kings,Quetta Gladiators,Karachi Kings,bat,Karachi Kings,Quetta Gladiators,0.6,0.6,0.375,0.625,away,away,0
