date,season,venue,team1,team2,toss_winner,toss_decision,bat_first_team,winner
2017-02-09,2016/17,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi,Islamabad United,field,Peshawar Zalmi,Islamabad United
2017-02-10,2016/17,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,field,Quetta Gladiators,Quetta Gladiators
2017-02-10,2016/17,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,field,Karachi Kings,Peshawar Zalmi
2017-02-11,2016/17,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars,Lahore Qalandars,field,Islamabad United,Lahore Qalandars
2017-02-11,2016/17,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Karachi Kings,Quetta Gladiators
2017-02-12,2016/17,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,Peshawar Zalmi
2017-02-15,2016/17,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators,Islamabad United,field,Quetta Gladiators,Islamabad United
2017-02-16,2016/17,Sharjah Cricket Stadium,Karachi Kings,Lahore Qalandars,Karachi Kings,field,Lahore Qalandars,Lahore Qalandars
2017-02-17,2016/17,Sharjah Cricket Stadium,Islamabad United,Karachi Kings,Karachi Kings,field,Islamabad United,Karachi Kings
2017-02-18,2016/17,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,Quetta Gladiators
2017-02-18,2016/17,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi,Islamabad United,field,Peshawar Zalmi,Islamabad United
2017-02-19,2016/17,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,field,Karachi Kings,Karachi Kings
2017-02-20,2016/17,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars,Lahore Qalandars,field,Islamabad United,Lahore Qalandars
2017-02-23,2016/17,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Karachi Kings,Quetta Gladiators
2017-02-24,2016/17,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,bat,Peshawar Zalmi,Peshawar Zalmi
2017-02-24,2016/17,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,Islamabad United
2017-02-25,2016/17,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars,Karachi Kings,field,Lahore Qalandars,Karachi Kings
2017-02-25,2016/17,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,field,Quetta Gladiators,Peshawar Zalmi
2017-02-26,2016/17,Dubai International Cricket Stadium,Islamabad United,Karachi Kings,Karachi Kings,field,Islamabad United,Karachi Kings
2017-02-28,2016/17,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Quetta Gladiators,Quetta Gladiators
2017-03-01,2016/17,Sharjah Cricket Stadium,Karachi Kings,Islamabad United,Islamabad United,field,Karachi Kings,Karachi Kings
2017-03-03,2016/17,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings,Karachi Kings,field,Peshawar Zalmi,Peshawar Zalmi
2017-03-05,2016/17,Gaddafi Stadium,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,Peshawar Zalmi
2018-02-22,2017/18,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans,Multan Sultans,field,Peshawar Zalmi,Multan Sultans
2018-02-23,2017/18,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators,Karachi Kings,bat,Karachi Kings,Karachi Kings
2018-02-23,2017/18,Dubai International Cricket Stadium,Multan Sultans,Lahore Qalandars,Lahore Qalandars,field,Multan Sultans,Multan Sultans
2018-02-24,2017/18,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi,Islamabad United,field,Peshawar Zalmi,Peshawar Zalmi
2018-02-24,2017/18,Dubai International Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Quetta Gladiators,field,Lahore Qalandars,Quetta Gladiators
2018-02-25,2017/18,Dubai International Cricket Stadium,Multan Sultans,Islamabad United,Islamabad United,field,Multan Sultans,Islamabad United
2018-02-25,2017/18,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,bat,Peshawar Zalmi,Karachi Kings
2018-02-26,2017/18,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars,Karachi Kings,bat,Karachi Kings,Karachi Kings
2018-02-28,2017/18,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,Quetta Gladiators
2018-03-01,2017/18,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Quetta Gladiators,Peshawar Zalmi
2018-03-03,2017/18,Sharjah Cricket Stadium,Multan Sultans,Quetta Gladiators,Multan Sultans,field,Quetta Gladiators,Multan Sultans
2018-03-03,2017/18,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars,Lahore Qalandars,bat,Lahore Qalandars,Peshawar Zalmi
2018-03-04,2017/18,Sharjah Cricket Stadium,Islamabad United,Karachi Kings,Islamabad United,field,Karachi Kings,Islamabad United
2018-03-06,2017/18,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans,Peshawar Zalmi,field,Multan Sultans,Multan Sultans
2018-03-07,2017/18,Dubai International Cricket Stadium,Multan Sultans,Quetta Gladiators,Quetta Gladiators,field,Multan Sultans,Quetta Gladiators
2018-03-08,2017/18,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars,Islamabad United,field,Lahore Qalandars,Islamabad United
2018-03-08,2017/18,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators,Karachi Kings,field,Quetta Gladiators,Quetta Gladiators
2018-03-09,2017/18,Dubai International Cricket Stadium,Multan Sultans,Lahore Qalandars,Multan Sultans,bat,Multan Sultans,Lahore Qalandars
2018-03-09,2017/18,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United,Peshawar Zalmi,field,Islamabad United,Islamabad United
2018-03-10,2017/18,Dubai International Cricket Stadium,Multan Sultans,Karachi Kings,Multan Sultans,field,Karachi Kings,Karachi Kings
2018-03-10,2017/18,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,Quetta Gladiators
2018-03-13,2017/18,Sharjah Cricket Stadium,Multan Sultans,Islamabad United,Multan Sultans,field,Islamabad United,Islamabad United
2018-03-14,2017/18,Sharjah Cricket Stadium,Quetta Gladiators,Lahore Qalandars,Quetta Gladiators,field,Lahore Qalandars,Lahore Qalandars
2018-03-15,2017/18,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings,Peshawar Zalmi,bat,Peshawar Zalmi,Peshawar Zalmi
2018-03-15,2017/18,Sharjah Cricket Stadium,Quetta Gladiators,Islamabad United,Quetta Gladiators,bat,Quetta Gladiators,Islamabad United
2018-03-16,2017/18,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars,Lahore Qalandars,bat,Lahore Qalandars,Peshawar Zalmi
2018-03-16,2017/18,Sharjah Cricket Stadium,Islamabad United,Karachi Kings,Karachi Kings,field,Islamabad United,Karachi Kings
2018-03-18,2017/18,Dubai International Cricket Stadium,Islamabad United,Karachi Kings,Karachi Kings,bat,Karachi Kings,Islamabad United
2018-03-20,2017/18,Gaddafi Stadium,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,Peshawar Zalmi
2018-03-21,2017/18,Gaddafi Stadium,Karachi Kings,Peshawar Zalmi,Karachi Kings,field,Peshawar Zalmi,Peshawar Zalmi
2018-03-25,2017/18,National Stadium,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,bat,Peshawar Zalmi,Islamabad United
2019-02-14,2018/19,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars,Islamabad United,field,Lahore Qalandars,Islamabad United
2019-02-15,2018/19,Dubai International Cricket Stadium,Karachi Kings,Multan Sultans,Karachi Kings,bat,Karachi Kings,Karachi Kings
2019-02-15,2018/19,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,Quetta Gladiators
2019-02-16,2018/19,Dubai International Cricket Stadium,Islamabad United,Multan Sultans,Multan Sultans,field,Islamabad United,Multan Sultans
2019-02-16,2018/19,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars,Karachi Kings,field,Lahore Qalandars,Lahore Qalandars
2019-02-17,2018/19,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,Quetta Gladiators
2019-02-17,2018/19,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,Peshawar Zalmi
2019-02-20,2018/19,Sharjah Cricket Stadium,Multan Sultans,Quetta Gladiators,Quetta Gladiators,field,Multan Sultans,Quetta Gladiators
2019-02-21,2018/19,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi,Karachi Kings,field,Peshawar Zalmi,Peshawar Zalmi
2019-02-22,2018/19,Sharjah Cricket Stadium,Lahore Qalandars,Multan Sultans,Lahore Qalandars,field,Multan Sultans,Lahore Qalandars
2019-02-22,2018/19,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Islamabad United,Islamabad United
2019-02-23,2018/19,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,Quetta Gladiators
2019-02-23,2018/19,Sharjah Cricket Stadium,Islamabad United,Karachi Kings,Islamabad United,field,Karachi Kings,Islamabad United
2019-02-24,2018/19,Sharjah Cricket Stadium,Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,field,Multan Sultans,Peshawar Zalmi
2019-02-24,2018/19,Sharjah Cricket Stadium,Karachi Kings,Quetta Gladiators,Karachi Kings,field,Quetta Gladiators,Karachi Kings
2019-02-26,2018/19,Dubai International Cricket Stadium,Islamabad United,Multan Sultans,Multan Sultans,field,Islamabad United,Multan Sultans
2019-02-27,2018/19,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,field,Quetta Gladiators,Lahore Qalandars
2019-02-27,2018/19,Dubai International Cricket Stadium,Islamabad United,Karachi Kings,Islamabad United,field,Karachi Kings,Islamabad United
2019-02-28,2018/19,Dubai International Cricket Stadium,Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,field,Multan Sultans,Peshawar Zalmi
2019-02-28,2018/19,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars,Karachi Kings,field,Lahore Qalandars,Karachi Kings
2019-03-01,2018/19,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Islamabad United,Peshawar Zalmi
2019-03-01,2018/19,Dubai International Cricket Stadium,Multan Sultans,Quetta Gladiators,Quetta Gladiators,field,Multan Sultans,Quetta Gladiators
2019-03-04,2018/19,Sheikh Zayed Stadium,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,Quetta Gladiators
2019-03-04,2018/19,Sheikh Zayed Stadium,Karachi Kings,Multan Sultans,Karachi Kings,field,Multan Sultans,Karachi Kings
2019-03-05,2018/19,Sheikh Zayed Stadium,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,Peshawar Zalmi
2019-03-05,2018/19,Sheikh Zayed Stadium,Islamabad United,Quetta Gladiators,Islamabad United,field,Quetta Gladiators,Quetta Gladiators
2019-03-11,2018/19,National Stadium,Karachi Kings,Peshawar Zalmi,Karachi Kings,field,Peshawar Zalmi,Peshawar Zalmi
2019-03-09,2018/19,National Stadium,Lahore Qalandars,Islamabad United,Lahore Qalandars,field,Islamabad United,Islamabad United
2019-03-10,2018/19,National Stadium,Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Karachi Kings,Karachi Kings
2019-03-11,2018/19,National Stadium,Lahore Qalandars,Multan Sultans,Multan Sultans,field,Lahore Qalandars,Multan Sultans
2019-03-14,2018/19,National Stadium,Islamabad United,Karachi Kings,Karachi Kings,bat,Karachi Kings,Islamabad United
2019-03-13,2018/19,National Stadium,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,field,Quetta Gladiators,Quetta Gladiators
2019-03-15,2018/19,National Stadium,Islamabad United,Peshawar Zalmi,Islamabad United,field,Peshawar Zalmi,Peshawar Zalmi
2019-03-17,2018/19,National Stadium,Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,field,Peshawar Zalmi,Quetta Gladiators
2020-02-20,2019/20,National Stadium,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,Quetta Gladiators
2020-02-21,2019/20,National Stadium,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,field,Karachi Kings,Karachi Kings
2020-02-21,2019/20,Gaddafi Stadium,Lahore Qalandars,Multan Sultans,Multan Sultans,field,Lahore Qalandars,Multan Sultans
2020-02-22,2019/20,National Stadium,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,field,Quetta Gladiators,Peshawar Zalmi
2020-02-22,2019/20,Gaddafi Stadium,Islamabad United,Multan Sultans,Islamabad United,field,Multan Sultans,Islamabad United
2020-02-23,2019/20,National Stadium,Karachi Kings,Quetta Gladiators,Karachi Kings,bat,Karachi Kings,Quetta Gladiators
2020-02-23,2019/20,Gaddafi Stadium,Lahore Qalandars,Islamabad United,Islamabad United,field,Lahore Qalandars,Islamabad United
2020-02-26,2019/20,Multan Cricket Stadium,Multan Sultans,Peshawar Zalmi,Multan Sultans,field,Peshawar Zalmi,Multan Sultans
2020-02-27,2019/20,Rawalpindi Cricket Stadium,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,Quetta Gladiators
2020-02-28,2019/20,Multan Cricket Stadium,Multan Sultans,Karachi Kings,Karachi Kings,field,Multan Sultans,Multan Sultans
2020-02-28,2019/20,Rawalpindi Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,Lahore Qalandars,field,Peshawar Zalmi,Peshawar Zalmi
2020-02-29,2019/20,Multan Cricket Stadium,Multan Sultans,Quetta Gladiators,Multan Sultans,bat,Multan Sultans,Multan Sultans
2020-03-01,2019/20,Rawalpindi Cricket Stadium,Islamabad United,Karachi Kings,Karachi Kings,field,Islamabad United,Karachi Kings
2020-03-02,2019/20,Rawalpindi Cricket Stadium,Karachi Kings,Peshawar Zalmi,Karachi Kings,field,Peshawar Zalmi,Karachi Kings
2020-03-03,2019/20,Gaddafi Stadium,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,Lahore Qalandars
2020-03-04,2019/20,Gaddafi Stadium,Lahore Qalandars,Islamabad United,Lahore Qalandars,field,Islamabad United,Islamabad United
2020-03-05,2019/20,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,Peshawar Zalmi
2020-03-07,2019/20,Rawalpindi Cricket Stadium,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Islamabad United,Peshawar Zalmi
2020-03-07,2019/20,Gaddafi Stadium,Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,field,Quetta Gladiators,Lahore Qalandars
2020-03-08,2019/20,Rawalpindi Cricket Stadium,Islamabad United,Multan Sultans,Multan Sultans,field,Islamabad United,Multan Sultans
2020-03-08,2019/20,Gaddafi Stadium,Lahore Qalandars,Karachi Kings,Lahore Qalandars,field,Karachi Kings,Lahore Qalandars
2020-03-10,2019/20,Gaddafi Stadium,Lahore Qalandars,Peshawar Zalmi,Lahore Qalandars,field,Peshawar Zalmi,Lahore Qalandars
2020-03-12,2019/20,National Stadium,Karachi Kings,Lahore Qalandars,Karachi Kings,field,Lahore Qalandars,Karachi Kings
2020-03-13,2019/20,National Stadium,Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,field,Multan Sultans,Multan Sultans
2020-03-14,2019/20,National Stadium,Karachi Kings,Islamabad United,Karachi Kings,field,Islamabad United,Karachi Kings
2020-03-15,2019/20,Gaddafi Stadium,Lahore Qalandars,Multan Sultans,Lahore Qalandars,field,Multan Sultans,Lahore Qalandars
2020-03-15,2019/20,National Stadium,Karachi Kings,Quetta Gladiators,Karachi Kings,bat,Karachi Kings,Quetta Gladiators
2020-11-14,2020/21,National Stadium,Peshawar Zalmi,Lahore Qalandars,Lahore Qalandars,field,Peshawar Zalmi,Lahore Qalandars
2020-11-15,2020/21,National Stadium,Lahore Qalandars,Multan Sultans,Multan Sultans,field,Lahore Qalandars,Lahore Qalandars
2020-11-17,2020/21,National Stadium,Lahore Qalandars,Karachi Kings,Lahore Qalandars,bat,Lahore Qalandars,Karachi Kings
2021-02-20,2020/21,National Stadium,Quetta Gladiators,Karachi Kings,Karachi Kings,field,Quetta Gladiators,Karachi Kings
2021-02-21,2020/21,National Stadium,Peshawar Zalmi,Lahore Qalandars,Lahore Qalandars,field,Peshawar Zalmi,Lahore Qalandars
2021-02-21,2020/21,National Stadium,Multan Sultans,Islamabad United,Islamabad United,field,Multan Sultans,Islamabad United
2021-02-22,2020/21,National Stadium,Quetta Gladiators,Lahore Qalandars,Lahore Qalandars,field,Quetta Gladiators,Lahore Qalandars
2021-02-23,2020/21,National Stadium,Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,field,Multan Sultans,Peshawar Zalmi
2021-02-24,2020/21,National Stadium,Karachi Kings,Islamabad United,Islamabad United,field,Karachi Kings,Islamabad United
2021-02-26,2020/21,National Stadium,Lahore Qalandars,Multan Sultans,Multan Sultans,field,Lahore Qalandars,Multan Sultans
2021-02-26,2020/21,National Stadium,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Quetta Gladiators,Peshawar Zalmi
2021-02-27,2020/21,National Stadium,Multan Sultans,Karachi Kings,Karachi Kings,field,Multan Sultans,Karachi Kings
2021-02-27,2020/21,National Stadium,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Islamabad United,Peshawar Zalmi
2021-02-28,2020/21,National Stadium,Karachi Kings,Lahore Qalandars,Lahore Qalandars,field,Karachi Kings,Lahore Qalandars
2021-03-02,2020/21,National Stadium,Quetta Gladiators,Islamabad United,Islamabad United,field,Quetta Gladiators,Islamabad United
2021-03-03,2020/21,National Stadium,Peshawar Zalmi,Karachi Kings,Karachi Kings,field,Peshawar Zalmi,Karachi Kings
2021-03-03,2020/21,National Stadium,Quetta Gladiators,Multan Sultans,Multan Sultans,field,Quetta Gladiators,Quetta Gladiators
2021-06-10,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Karachi Kings,Karachi Kings,field,Multan Sultans,Multan Sultans
2021-06-10,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,Lahore Qalandars
2021-06-09,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Lahore Qalandars,Lahore Qalandars,field,Islamabad United,Lahore Qalandars
2021-06-11,2021,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Islamabad United,Islamabad United,field,Quetta Gladiators,Islamabad United
2021-06-13,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Lahore Qalandars,Islamabad United,bat,Islamabad United,Islamabad United
2021-06-12,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,Peshawar Zalmi
2021-06-13,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Multan Sultans,Multan Sultans,field,Peshawar Zalmi,Multan Sultans
2021-06-14,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Islamabad United,Islamabad United,field,Karachi Kings,Islamabad United
2021-06-15,2021,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Lahore Qalandars,Lahore Qalandars,field,Quetta Gladiators,Quetta Gladiators
2021-06-15,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,field,Karachi Kings,Peshawar Zalmi
2021-06-16,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Quetta Gladiators,Quetta Gladiators,field,Multan Sultans,Multan Sultans
2021-06-17,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Islamabad United,Islamabad United
2021-06-17,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Lahore Qalandars,Karachi Kings,bat,Karachi Kings,Karachi Kings
2021-06-18,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Lahore Qalandars,Lahore Qalandars,field,Multan Sultans,Multan Sultans
2021-06-19,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Quetta Gladiators,Karachi Kings,bat,Karachi Kings,Karachi Kings
2021-06-19,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Islamabad United,Islamabad United,field,Multan Sultans,Islamabad United
2021-06-21,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Islamabad United,Multan Sultans,bat,Multan Sultans,Multan Sultans
2021-06-21,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,field,Karachi Kings,Peshawar Zalmi
2021-06-22,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Islamabad United,Peshawar Zalmi
2021-06-24,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,field,Multan Sultans,Multan Sultans
2022-01-27,2021/22,"National Stadium, Karachi",Karachi Kings,Multan Sultans,Multan Sultans,field,Karachi Kings,Multan Sultans
2022-01-28,2021/22,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Quetta Gladiators,Peshawar Zalmi
2022-01-29,2021/22,"National Stadium, Karachi",Lahore Qalandars,Multan Sultans,Multan Sultans,field,Lahore Qalandars,Multan Sultans
2022-01-29,2021/22,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Karachi Kings,Quetta Gladiators
2022-01-30,2021/22,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United,Islamabad United,field,Peshawar Zalmi,Islamabad United
2022-01-30,2021/22,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars,Lahore Qalandars,field,Karachi Kings,Lahore Qalandars
2022-01-31,2021/22,"National Stadium, Karachi",Multan Sultans,Quetta Gladiators,Quetta Gladiators,field,Multan Sultans,Multan Sultans
2022-02-01,2021/22,"National Stadium, Karachi",Multan Sultans,Islamabad United,Islamabad United,field,Multan Sultans,Multan Sultans
2022-02-02,2021/22,"National Stadium, Karachi",Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,Lahore Qalandars
2022-02-03,2021/22,"National Stadium, Karachi",Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,Islamabad United
2022-02-04,2021/22,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings,Karachi Kings,field,Peshawar Zalmi,Peshawar Zalmi
2022-02-05,2021/22,"National Stadium, Karachi",Lahore Qalandars,Islamabad United,Islamabad United,field,Lahore Qalandars,Lahore Qalandars
2022-02-05,2021/22,"National Stadium, Karachi",Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,field,Multan Sultans,Multan Sultans
2022-02-06,2021/22,"National Stadium, Karachi",Islamabad United,Karachi Kings,Islamabad United,bat,Islamabad United,Islamabad United
2022-02-07,2021/22,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,Quetta Gladiators
2022-02-10,2021/22,"Gaddafi Stadium, Lahore",Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,field,Multan Sultans,Multan Sultans
2022-02-11,2021/22,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans,Multan Sultans,field,Lahore Qalandars,Lahore Qalandars
2022-02-12,2021/22,"Gaddafi Stadium, Lahore",Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,Quetta Gladiators
2022-02-13,2021/22,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Karachi Kings,Karachi Kings,field,Peshawar Zalmi,Peshawar Zalmi
2022-02-13,2021/22,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars,Lahore Qalandars,field,Quetta Gladiators,Lahore Qalandars
2022-02-14,2021/22,"Gaddafi Stadium, Lahore",Islamabad United,Karachi Kings,Karachi Kings,field,Islamabad United,Islamabad United
2022-02-15,2021/22,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,bat,Peshawar Zalmi,Peshawar Zalmi
